STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT,cluster
1047099999,1/1/2025,69.0166667,23.0666667,307.0,"KAUTOKEINO II, NO",-0.4,6,-3.4,6,989.8,6,950.0,6,28.0,6,7.1,6,9.7,999.9,14.4, ,-8.1, ,0.01,F,16.5,1000,6
1047099999,1/2/2025,69.0166667,23.0666667,307.0,"KAUTOKEINO II, NO",-15.7,6,-18.8,6,987.9,6,946.9,6,37.3,6,4.2,6,9.7,999.9,0.1, ,-19.5, ,0.01,G,16.5,0,6
1047099999,1/3/2025,69.0166667,23.0666667,307.0,"KAUTOKEINO II, NO",-18.8,6,-22.2,6,991.6,6,950.1,6,31.4,6,3.2,6,5.8,999.9,-9.8, ,-22.7, ,0.0,G,16.5,0,6
1047099999,1/4/2025,69.0166667,23.0666667,307.0,"KAUTOKEINO II, NO",-17.7,6,-21.5,6,999.6,6,957.9,6,1.6,6,3.6,6,5.8,999.9,-13.7, ,-23.6, ,0.0,G,16.1,100000,6
1047099999,1/5/2025,69.0166667,23.0666667,307.0,"KAUTOKEINO II, NO",-16.5,6,-20.2,6,1001.1,6,959.4,6,25.2,6,4.5,6,5.8,999.9,-2.2, ,-30.5, ,0.0,G,16.1,1000,6
1047099999,1/6/2025,69.0166667,23.0666667,307.0,"KAUTOKEINO II, NO",-4.6,6,-7.6,6,1003.8,6,963.1,6,37.3,6,2.9,6,5.8,999.9,5.4, ,-14.1, ,0.02,G,16.1,0,6
1047099999,1/7/2025,69.0166667,23.0666667,307.0,"KAUTOKEINO II, NO",3.5,6,1.1,6,1011.0,6,970.7,6,2.7,6,1.3,6,5.8,999.9,10.0, ,-13.5, ,0.0,G,15.7,101000,6
1047099999,1/8/2025,69.0166667,23.0666667,307.0,"KAUTOKEINO II, NO",-2.5,6,-5.3,6,1010.1,6,969.4,6,10.1,6,4.2,6,5.8,999.9,10.6, ,-19.7, ,0.01,G,16.5,1000,6
1047099999,1/9/2025,69.0166667,23.0666667,307.0,"KAUTOKEINO II, NO",-2.2,6,-4.9,6,1008.9,6,968.2,6,14.4,6,2.9,6,5.8,999.9,2.7, ,-5.6, ,0.04,G,16.9,1000,6
1047099999,1/10/2025,69.0166667,23.0666667,307.0,"KAUTOKEINO II, NO",-22.2,6,-25.1,6,1016.6,6,973.7,6,35.7,6,3.6,6,5.8,999.9,-3.1, ,-27.6, ,0.04,G,16.9,0,6
1047099999,1/11/2025,69.0166667,23.0666667,307.0,"KAUTOKEINO II, NO",-2.2,6,-5.0,6,1017.9,6,976.8,6,36.8,6,3.9,6,9.7,999.9,4.3, ,-22.4, ,0.0,G,16.9,0,6
1047099999,1/12/2025,69.0166667,23.0666667,307.0,"KAUTOKEINO II, NO",6.6,6,5.0,6,1014.7,6,974.5,6,37.3,6,4.7,5,9.7,999.9,16.2, ,-5.6, ,0.0,G,16.5,0,6
1047099999,1/13/2025,69.0166667,23.0666667,307.0,"KAUTOKEINO II, NO",18.8,5,17.1,5,994.9,5,956.4,5,22.8,5,6.6,5,13.6,999.9,31.1, ,-7.1, ,0.0,G,16.5,1000,2
1047099999,1/14/2025,69.0166667,23.0666667,307.0,"KAUTOKEINO II, NO",25.4,6,23.2,6,997.9,6,959.8,6,31.6,6,6.2,6,13.6,999.9,34.2, ,12.6, ,0.54,G,21.7,1000,2
1047099999,1/15/2025,69.0166667,23.0666667,307.0,"KAUTOKEINO II, NO",24.2,5,22.9,5,999.3,5,961.1,5,22.0,5,11.3,5,13.6,999.9,32.2, ,14.4, ,0.0,G,21.3,1000,2
1047099999,1/16/2025,69.0166667,23.0666667,307.0,"KAUTOKEINO II, NO",39.9,6,31.3,6,991.5,6,954.8,6,37.3,6,8.4,6,9.7,999.9,44.1, ,32.4, ,0.41,G,23.6,0,3
1047099999,1/17/2025,69.0166667,23.0666667,307.0,"KAUTOKEINO II, NO",37.5,6,31.5,6,993.1,6,956.1,6,37.3,6,12.3,6,13.6,999.9,41.7, ,34.2, ,0.0,G,22.4,0,3
1047099999,1/18/2025,69.0166667,23.0666667,307.0,"KAUTOKEINO II, NO",32.5,6,26.4,6,997.7,6,960.2,6,37.8,6,9.7,6,9.7,999.9,39.7, ,29.5, ,0.0,G,21.7,0,3
1047099999,1/19/2025,69.0166667,23.0666667,307.0,"KAUTOKEINO II, NO",22.6,6,18.3,6,1008.0,6,969.3,6,27.8,6,8.4,6,19.4,999.9,30.7, ,16.3, ,0.04,G,22.0,1000,2
1047099999,1/20/2025,69.0166667,23.0666667,307.0,"KAUTOKEINO II, NO",4.5,6,0.3,6,1029.1,6,988.1,6,37.3,6,7.4,6,9.7,999.9,18.9, ,-15.0, ,0.09,G,22.0,0,6
1047099999,1/21/2025,69.0166667,23.0666667,307.0,"KAUTOKEINO II, NO",-16.1,6,-19.9,6,1033.1,6,990.1,6,24.6,6,3.2,6,5.8,999.9,2.8, ,-26.0, ,0.0,G,22.0,1000,6
1047099999,1/22/2025,69.0166667,23.0666667,307.0,"KAUTOKEINO II, NO",-3.8,5,-6.9,5,1016.9,5,975.7,5,31.1,5,3.5,5,9.7,999.9,6.6, ,-17.1,*,0.01,G,21.7,0,6
1047099999,1/24/2025,69.0166667,23.0666667,307.0,"KAUTOKEINO II, NO",-6.5,6,-9.6,6,1007.0,6,966.0,6,19.0,6,4.2,6,9.7,999.9,10.6, ,-11.6, ,0.0,G,21.7,100000,6
1047099999,1/25/2025,69.0166667,23.0666667,307.0,"KAUTOKEINO II, NO",4.4,6,2.0,6,995.4,6,955.8,6,7.7,6,3.6,6,5.8,999.9,8.2, ,-8.0, ,0.0,G,21.3,1000,6
1047099999,1/26/2025,69.0166667,23.0666667,307.0,"KAUTOKEINO II, NO",18.4,6,17.0,6,986.9,6,948.8,6,26.4,6,6.8,6,9.7,999.9,22.5, ,8.2, ,0.13,G,22.4,1000,2
1047099999,1/27/2025,69.0166667,23.0666667,307.0,"KAUTOKEINO II, NO",15.2,6,13.8,6,998.0,6,959.1,6,24.1,6,6.5,6,9.7,999.9,19.9, ,6.3, ,0.02,G,22.0,100000,2
1047099999,1/28/2025,69.0166667,23.0666667,307.0,"KAUTOKEINO II, NO",22.3,6,21.1,6,998.2,6,959.9,6,26.7,6,9.1,6,9.7,999.9,24.8, ,13.1, ,0.0,G,22.0,1000,2
1047099999,1/29/2025,69.0166667,23.0666667,307.0,"KAUTOKEINO II, NO",11.6,6,10.1,6,1008.7,6,969.1,6,38.8,6,7.8,6,9.7,999.9,22.6, ,0.9, ,0.03,G,22.4,0,6
1047099999,1/30/2025,69.0166667,23.0666667,307.0,"KAUTOKEINO II, NO",5.9,6,3.9,6,1009.0,6,969.0,6,7.3,6,6.8,6,9.7,999.9,19.9, ,-11.9, ,0.0,G,22.4,1000,6
1047099999,1/31/2025,69.0166667,23.0666667,307.0,"KAUTOKEINO II, NO",12.8,6,11.4,6,1004.4,6,965.1,6,26.6,6,4.5,6,9.7,999.9,19.4, ,5.9, ,0.12,G,24.4,1000,2
1047099999,2/1/2025,69.0166667,23.0666667,307.0,"KAUTOKEINO II, NO",26.2,6,25.1,6,1022.9,6,984.0,6,26.9,6,4.9,6,5.8,999.9,30.9, ,18.7, ,0.11,G,25.2,1000,2
1047099999,2/2/2025,69.0166667,23.0666667,307.0,"KAUTOKEINO II, NO",16.3,5,12.2,5,1036.0,5,995.8,5,30.4,5,8.2,5,9.7,999.9,28.8, ,0.3, ,0.01,G,24.4,1000,2
1047099999,2/3/2025,69.0166667,23.0666667,307.0,"KAUTOKEINO II, NO",-22.1,6,-25.1,6,1038.0,6,994.3,6,27.4,6,3.2,6,5.8,999.9,0.3, ,-27.8, ,0.0,G,24.4,1000,6
